Traffic,Employees,Database Interaction,Database Size,Access Layers,Roles,Database Severity,Monitoring,IDS/IPS,Authentication Method,Encryption,Firewall,Access Management,Rules and Regulations,Compliance Management,Framework,Cookie Management,Disaster Recovery & Backup
500k-1m,20,Partial Interaction,0-100GB,5,9,High,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Advanced FW,Role-based,"GDPR, ISO27001",PCI DSS,COBIT,Enabled,Cloud Backup
1-10k,790,No Interaction,0-100GB,3,9,Low,Partial,Zeek IDS,MFA,AES-256,UTM Firewall,Role-based,"GDPR, ISO27001",ISO27017,NIST CSF,Enabled,Cloud Backup
10k-100k,250,No Interaction,400+GB,5,7,High,Partial,Snort IDS,MFA + Biometrics,RSA + AES-256,Next-Gen FW,Role-based,"HIPAA, GDPR",PCI DSS,COBIT,Advanced,Redundant Backup Systems
10k-100k,790,Partial Interaction,400+GB,3,5,High,Complete,Suricata IPS,PKI,ECC,Advanced FW,Attribute-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,Redundant Backup Systems
10k-100k,470,No Interaction,200-400GB,5,9,Medium,Partial,Suricata IPS,MFA,AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",PCI DSS,Zero Trust,Enabled,Geo-Distributed Backup
100k-500k,230,No Interaction,200-400GB,4,10,Low,Partial,Custom IDS/IPS,MFA,RSA + AES-256,Advanced FW,Role-based,"PCI DSS, GDPR",PCI DSS,OWASP,Enabled,On-Prem Backup
100k-500k,420,No Interaction,400+GB,4,8,Low,Complete,Snort IDS,MFA,AES-128,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,Zero Trust,Advanced,Cloud Backup
500k-1m,550,Partial Interaction,400+GB,4,4,High,Complete,Custom IDS/IPS,MFA,AES-128,Basic Firewall,Role-based,"ISO27017, GDPR",PCI DSS,NIST CSF,Advanced,Redundant Backup Systems
500k-1m,610,Partial Interaction,400+GB,3,9,High,Complete,Zeek IDS,MFA,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",PCI DSS,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,790,Partial Interaction,400+GB,5,5,Medium,Complete,Snort IDS,MFA,RSA + AES-256,Advanced FW,Role-based,"HIPAA, GDPR",SOC 2,Zero Trust,Enabled,Redundant Backup Systems
1-10k,390,No Interaction,100-200GB,5,7,Low,Complete,Zeek IDS,MFA,AES-128,UTM Firewall,Attribute-based,"ISO27017, GDPR",ISO27001,OWASP,Advanced,Cloud Backup
500k-1m,980,Partial Interaction,100-200GB,5,4,Low,Partial,Suricata IPS,PKI,RSA + AES-256,Advanced FW,Policy-based,"HIPAA, GDPR",PCI DSS,NIST CSF,Enabled,Redundant Backup Systems
1-10k,450,No Interaction,0-100GB,3,7,Medium,Complete,Snort IDS,Password-based,AES-256,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27017,NIST CSF,Advanced,Cloud Backup
10k-100k,930,No Interaction,0-100GB,4,3,High,Complete,Snort IDS,Password-based,AES-256,UTM Firewall,Attribute-based,"GDPR, ISO27001",SOC 2,Zero Trust,Advanced,Redundant Backup Systems
1-10k,410,No Interaction,0-100GB,4,8,High,Complete,Custom IDS/IPS,Password-based,AES-128,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,Redundant Backup Systems
1-10k,820,No Interaction,200-400GB,3,5,High,Complete,Suricata IPS,PKI,RSA + AES-256,UTM Firewall,Role-based,"HIPAA, GDPR",ISO27001,OWASP,Enabled,On-Prem Backup
10k-100k,970,Partial Interaction,0-100GB,4,6,Medium,Complete,Snort IDS,Password-based,ECC,Next-Gen FW,Attribute-based,"GDPR, ISO27001",ISO27001,COBIT,Enabled,Redundant Backup Systems
10k-100k,190,No Interaction,0-100GB,5,8,Medium,Complete,Suricata IPS,MFA + Biometrics,AES-128,Next-Gen FW,Policy-based,"ISO27017, GDPR",SOC 2,Zero Trust,Enabled,Cloud Backup
10k-100k,940,No Interaction,0-100GB,5,10,Medium,Partial,Zeek IDS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27001,OWASP,Enabled,On-Prem Backup
1-10k,440,Partial Interaction,100-200GB,3,8,Medium,Complete,Snort IDS,MFA + Biometrics,AES-128,Next-Gen FW,Role-based,"GDPR, ISO27001",ISO27001,Zero Trust,Advanced,Cloud Backup
500k-1m,600,Partial Interaction,0-100GB,5,3,Low,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Attribute-based,"GDPR, ISO27001",ISO27001,COBIT,Advanced,Geo-Distributed Backup
10k-100k,330,Partial Interaction,200-400GB,3,8,Medium,Complete,Snort IDS,Password-based,ECC,Advanced FW,Policy-based,"ISO27017, GDPR",SOC 2,OWASP,Advanced,Redundant Backup Systems
10k-100k,240,No Interaction,0-100GB,5,4,High,Partial,Suricata IPS,PKI,RSA + AES-256,Next-Gen FW,Role-based,"PCI DSS, GDPR",SOC 2,NIST CSF,Enabled,Geo-Distributed Backup
1-10k,750,No Interaction,0-100GB,3,3,Medium,Partial,Custom IDS/IPS,Password-based,RSA + AES-256,Advanced FW,Attribute-based,"PCI DSS, GDPR",ISO27017,OWASP,Advanced,On-Prem Backup
1-10k,710,No Interaction,100-200GB,3,10,Medium,Partial,Snort IDS,Password-based,AES-128,Next-Gen FW,Policy-based,"GDPR, ISO27001",PCI DSS,OWASP,Enabled,On-Prem Backup
1-10k,30,Partial Interaction,0-100GB,3,5,Low,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,Basic Firewall,Attribute-based,"GDPR, ISO27001",SOC 2,OWASP,Enabled,Redundant Backup Systems
1-10k,640,Partial Interaction,200-400GB,4,8,Low,Partial,Suricata IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,Redundant Backup Systems
1-10k,880,Partial Interaction,400+GB,3,7,Medium,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,NIST CSF,Enabled,Cloud Backup
1-10k,1000,No Interaction,0-100GB,5,4,High,Partial,Snort IDS,MFA + Biometrics,AES-256,UTM Firewall,Attribute-based,"ISO27017, GDPR",ISO27017,OWASP,Advanced,Geo-Distributed Backup
1-10k,870,Partial Interaction,100-200GB,5,8,Low,Complete,Suricata IPS,Password-based,AES-128,UTM Firewall,Role-based,"PCI DSS, GDPR",SOC 2,NIST CSF,Enabled,Geo-Distributed Backup
10k-100k,640,Partial Interaction,400+GB,3,6,High,Complete,Custom IDS/IPS,MFA + Biometrics,AES-128,Advanced FW,Policy-based,"ISO27017, GDPR",SOC 2,Zero Trust,Advanced,On-Prem Backup
10k-100k,990,Partial Interaction,200-400GB,3,5,Low,Complete,Custom IDS/IPS,MFA + Biometrics,AES-256,Advanced FW,Policy-based,"PCI DSS, GDPR",ISO27017,NIST CSF,Advanced,Geo-Distributed Backup
100k-500k,250,No Interaction,100-200GB,5,5,Medium,Partial,Suricata IPS,MFA + Biometrics,AES-256,UTM Firewall,Attribute-based,"PCI DSS, GDPR",SOC 2,OWASP,Enabled,Redundant Backup Systems
500k-1m,610,Partial Interaction,200-400GB,5,9,Low,Partial,Snort IDS,Password-based,ECC,Next-Gen FW,Role-based,"ISO27017, GDPR",SOC 2,NIST CSF,Advanced,Cloud Backup
100k-500k,810,Partial Interaction,100-200GB,3,10,Medium,Complete,Suricata IPS,MFA,AES-256,UTM Firewall,Attribute-based,"ISO27017, GDPR",ISO27001,NIST CSF,Advanced,Cloud Backup
1-10k,940,Partial Interaction,100-200GB,4,6,Medium,Partial,Custom IDS/IPS,PKI,RSA + AES-256,UTM Firewall,Role-based,"ISO27017, GDPR",PCI DSS,COBIT,Enabled,On-Prem Backup
10k-100k,690,No Interaction,200-400GB,5,10,Low,Complete,Snort IDS,MFA + Biometrics,AES-256,Basic Firewall,Attribute-based,"PCI DSS, GDPR",ISO27017,Zero Trust,Advanced,Cloud Backup
10k-100k,530,No Interaction,200-400GB,3,10,High,Partial,Suricata IPS,MFA + Biometrics,AES-256,Next-Gen FW,Attribute-based,"GDPR, ISO27001",PCI DSS,Zero Trust,Enabled,On-Prem Backup
500k-1m,500,No Interaction,200-400GB,4,4,Low,Partial,Custom IDS/IPS,Password-based,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27017,COBIT,Advanced,On-Prem Backup
500k-1m,540,No Interaction,100-200GB,4,6,Medium,Complete,Suricata IPS,PKI,ECC,Next-Gen FW,Role-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,Geo-Distributed Backup
100k-500k,990,Partial Interaction,0-100GB,5,4,Low,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Policy-based,"HIPAA, GDPR",SOC 2,COBIT,Advanced,Cloud Backup
1-10k,810,Partial Interaction,100-200GB,3,4,High,Complete,Snort IDS,PKI,RSA + AES-256,Advanced FW,Policy-based,"PCI DSS, GDPR",SOC 2,NIST CSF,Enabled,Cloud Backup
100k-500k,770,Partial Interaction,100-200GB,3,6,Low,Complete,Snort IDS,MFA,AES-128,Advanced FW,Policy-based,"ISO27017, GDPR",ISO27017,OWASP,Enabled,On-Prem Backup
100k-500k,250,No Interaction,100-200GB,3,10,Low,Partial,Suricata IPS,PKI,RSA + AES-256,Basic Firewall,Policy-based,"HIPAA, GDPR",SOC 2,COBIT,Enabled,Cloud Backup
500k-1m,290,Partial Interaction,200-400GB,3,7,Low,Partial,Snort IDS,Password-based,ECC,Basic Firewall,Policy-based,"HIPAA, GDPR",SOC 2,OWASP,Enabled,Geo-Distributed Backup
100k-500k,240,Partial Interaction,400+GB,3,4,Low,Partial,Custom IDS/IPS,MFA,ECC,Advanced FW,Attribute-based,"ISO27017, GDPR",PCI DSS,OWASP,Advanced,Cloud Backup
1-10k,250,Partial Interaction,400+GB,3,5,Medium,Complete,Zeek IDS,Password-based,ECC,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27017,COBIT,Enabled,Redundant Backup Systems
500k-1m,60,Partial Interaction,400+GB,5,5,High,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,Basic Firewall,Attribute-based,"HIPAA, GDPR",ISO27001,COBIT,Enabled,Geo-Distributed Backup
10k-100k,690,Partial Interaction,400+GB,4,10,Low,Complete,Zeek IDS,PKI,ECC,Basic Firewall,Policy-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,On-Prem Backup
100k-500k,810,No Interaction,400+GB,4,4,Medium,Complete,Custom IDS/IPS,PKI,AES-256,Advanced FW,Policy-based,"HIPAA, GDPR",ISO27017,Zero Trust,Advanced,Redundant Backup Systems
1-10k,490,No Interaction,100-200GB,5,7,Low,Partial,Custom IDS/IPS,Password-based,AES-128,Basic Firewall,Role-based,"GDPR, ISO27001",ISO27001,NIST CSF,Enabled,Cloud Backup
1-10k,940,No Interaction,0-100GB,4,4,High,Partial,Custom IDS/IPS,MFA,ECC,Advanced FW,Attribute-based,"PCI DSS, GDPR",SOC 2,OWASP,Advanced,On-Prem Backup
500k-1m,130,No Interaction,0-100GB,3,7,Low,Partial,Suricata IPS,MFA,AES-128,Basic Firewall,Role-based,"PCI DSS, GDPR",PCI DSS,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,950,Partial Interaction,100-200GB,5,8,Medium,Complete,Zeek IDS,MFA,AES-128,Advanced FW,Role-based,"ISO27017, GDPR",ISO27017,NIST CSF,Enabled,Cloud Backup
500k-1m,830,Partial Interaction,100-200GB,4,5,Low,Complete,Snort IDS,MFA,RSA + AES-256,UTM Firewall,Role-based,"ISO27017, GDPR",SOC 2,Zero Trust,Enabled,On-Prem Backup
1-10k,810,Partial Interaction,200-400GB,3,7,High,Complete,Zeek IDS,MFA + Biometrics,AES-128,Next-Gen FW,Role-based,"GDPR, ISO27001",ISO27017,COBIT,Enabled,Redundant Backup Systems
1-10k,10,Partial Interaction,0-100GB,3,10,High,Partial,Custom IDS/IPS,MFA + Biometrics,AES-128,Basic Firewall,Policy-based,"HIPAA, GDPR",PCI DSS,COBIT,Advanced,Cloud Backup
1-10k,910,Partial Interaction,200-400GB,5,5,High,Complete,Zeek IDS,Password-based,AES-128,Basic Firewall,Policy-based,"PCI DSS, GDPR",ISO27017,OWASP,Advanced,On-Prem Backup
100k-500k,870,No Interaction,400+GB,4,6,Low,Partial,Suricata IPS,PKI,AES-256,UTM Firewall,Role-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,Redundant Backup Systems
10k-100k,180,No Interaction,400+GB,4,9,Medium,Partial,Custom IDS/IPS,MFA,ECC,Next-Gen FW,Attribute-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,Geo-Distributed Backup
1-10k,120,No Interaction,200-400GB,3,10,Low,Complete,Custom IDS/IPS,MFA,ECC,Advanced FW,Role-based,"PCI DSS, GDPR",PCI DSS,Zero Trust,Enabled,On-Prem Backup
10k-100k,1000,No Interaction,100-200GB,3,10,Medium,Partial,Zeek IDS,MFA,AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27017,COBIT,Advanced,Geo-Distributed Backup
100k-500k,670,No Interaction,400+GB,3,9,Low,Complete,Zeek IDS,PKI,ECC,Advanced FW,Role-based,"ISO27017, GDPR",SOC 2,NIST CSF,Advanced,Geo-Distributed Backup
500k-1m,160,Partial Interaction,100-200GB,4,8,Low,Complete,Zeek IDS,MFA,AES-128,Advanced FW,Policy-based,"PCI DSS, GDPR",PCI DSS,NIST CSF,Enabled,Redundant Backup Systems
500k-1m,320,No Interaction,100-200GB,4,3,Low,Complete,Suricata IPS,PKI,RSA + AES-256,Next-Gen FW,Attribute-based,"HIPAA, GDPR",PCI DSS,OWASP,Enabled,Geo-Distributed Backup
500k-1m,260,No Interaction,0-100GB,5,8,Low,Partial,Suricata IPS,Password-based,RSA + AES-256,Basic Firewall,Attribute-based,"ISO27017, GDPR",ISO27017,OWASP,Enabled,Cloud Backup
100k-500k,230,Partial Interaction,100-200GB,5,6,Low,Partial,Zeek IDS,MFA + Biometrics,AES-128,Basic Firewall,Policy-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
100k-500k,820,No Interaction,0-100GB,4,5,Medium,Complete,Custom IDS/IPS,PKI,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27001,OWASP,Enabled,On-Prem Backup
1-10k,420,Partial Interaction,200-400GB,4,9,High,Partial,Zeek IDS,Password-based,AES-128,Basic Firewall,Attribute-based,"PCI DSS, GDPR",SOC 2,NIST CSF,Advanced,Redundant Backup Systems
100k-500k,620,Partial Interaction,400+GB,3,4,Medium,Complete,Custom IDS/IPS,PKI,AES-256,Advanced FW,Role-based,"ISO27017, GDPR",PCI DSS,NIST CSF,Enabled,Redundant Backup Systems
10k-100k,90,No Interaction,200-400GB,5,9,High,Partial,Zeek IDS,MFA + Biometrics,AES-128,Advanced FW,Policy-based,"PCI DSS, GDPR",PCI DSS,Zero Trust,Advanced,Redundant Backup Systems
10k-100k,390,No Interaction,100-200GB,4,9,Medium,Complete,Custom IDS/IPS,MFA,RSA + AES-256,Advanced FW,Role-based,"PCI DSS, GDPR",ISO27001,OWASP,Enabled,Redundant Backup Systems
1-10k,870,No Interaction,0-100GB,4,9,Low,Complete,Custom IDS/IPS,MFA,AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,COBIT,Enabled,Geo-Distributed Backup
100k-500k,660,No Interaction,400+GB,3,3,Low,Partial,Custom IDS/IPS,PKI,ECC,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,Redundant Backup Systems
100k-500k,510,No Interaction,100-200GB,5,4,Medium,Partial,Zeek IDS,PKI,ECC,Next-Gen FW,Attribute-based,"HIPAA, GDPR",PCI DSS,Zero Trust,Advanced,On-Prem Backup
1-10k,200,No Interaction,100-200GB,3,9,High,Complete,Custom IDS/IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Policy-based,"GDPR, ISO27001",PCI DSS,OWASP,Advanced,Cloud Backup
1-10k,430,Partial Interaction,400+GB,5,6,Low,Complete,Snort IDS,Password-based,AES-128,UTM Firewall,Policy-based,"GDPR, ISO27001",SOC 2,NIST CSF,Enabled,On-Prem Backup
500k-1m,600,No Interaction,400+GB,5,8,Low,Partial,Snort IDS,MFA,ECC,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
10k-100k,140,No Interaction,200-400GB,3,4,Low,Complete,Zeek IDS,MFA + Biometrics,RSA + AES-256,Next-Gen FW,Policy-based,"GDPR, ISO27001",SOC 2,Zero Trust,Advanced,On-Prem Backup
500k-1m,640,Partial Interaction,100-200GB,4,4,Medium,Partial,Suricata IPS,MFA,AES-128,Basic Firewall,Role-based,"HIPAA, GDPR",PCI DSS,NIST CSF,Enabled,Cloud Backup
100k-500k,800,No Interaction,400+GB,3,10,Low,Partial,Custom IDS/IPS,MFA + Biometrics,RSA + AES-256,UTM Firewall,Role-based,"HIPAA, GDPR",PCI DSS,NIST CSF,Advanced,Cloud Backup
1-10k,270,Partial Interaction,400+GB,5,8,Low,Complete,Snort IDS,MFA,AES-256,Basic Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,OWASP,Advanced,On-Prem Backup
